Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji
7358	49528.85	18209.83	11.666	7.418919	5.861	7.546	8.9954	10.4359	0.117424	0.407197	0.653409	0.916667	lehmus
7359	49543.75	18204.59	7.761	5.661061	5.103	5.7425	5.96	6.98	0	0.045455	0.181818	0.424242	lehmus
7360	49538.74	18212.17	7.538	5.29775	4.668	5.1475	5.9665	6.664	0.025862	0.318966	0.681034	0.922414	lehmus
7361	49533.12	18222.52	7.113	5.211051	4.906	5.2305	5.4918	6.1294	0	0.016949	0.152542	0.423729	lehmus
7362	49557.98	18203.72	8.159	4.097726	2.9093	3.4335	4.7909	6.4423	0.545161	0.722581	0.870968	0.980645	lehmus
7363	49551.97	18208.61	8.028	4.410603	3.3906	3.47	5.297	6.8248	0.517426	0.603217	0.825737	0.9437	lehmus
7364	49545.25	18221.51	7.78	4.145995	3.3844	3.427	4.6992	6.436	0.579946	0.696477	0.859079	0.943089	lehmus
7365	49539.74	18227.98	8.308	5.319871	4.3996	5.1455	6.182	7.1131	0.111765	0.447059	0.694118	0.935294	lehmus
7371	49514.84	18248.58	6.89	5.048866	4.5224	5.009	5.6258	6.2289	0.02439	0.231707	0.621951	0.926829	lehmus
7372	49508.39	18255.58	7.164	4.9478	4.5222	4.843	5.4354	5.9948	0.052632	0.263158	0.694737	0.936842	lehmus
7373	49502.31	18263.37	6.658	4.856898	4.4532	4.7335	5.4191	5.9614	0.011364	0.147727	0.625	0.897727	lehmus
7374	49495.54	18270.95	5.898	4.296072	3.6913	4.3305	4.8837	5.284	0.019737	0.282895	0.486842	0.717105	lehmus
7375	49487.19	18284.42	5.339	3.45842	3.3294	3.373	3.393	3.8324	0	0.115942	0.884058	0.913043	lehmus
7376	49480.54	18293.32	6.965	4.77481	4.348	4.819	5.245	6.078	0.107438	0.289256	0.702479	0.92562	lehmus
7378	49458	18323.83	6.789	4.450576	3.8305	4.4635	4.9563	5.7542	0.050633	0.35443	0.594937	0.867089	lehmus
7379	49453.27	18331.72	9.613	5.428436	4.702	5.017	5.682	9.385	0.158416	0.584158	0.891089	0.891089	lehmus
7380	49444.55	18340.07	5.947	4.779588	4.4188	4.768	5.119	5.5626	0	0.023529	0.070588	0.317647	lehmus
7386	49433.96	18393.86	6.185	4.30743	3.6985	4.21	4.8895	5.441	0.081395	0.465116	0.697674	0.953488	lehmus
7387	49445.79	18374.83	6.67	4.008232	3.3	3.789	4.4126	5.304	0.191919	0.585859	0.767677	0.919192	lehmus
7389	49459.87	18357.12	12.051	8.493855	7.4619	8.692	9.7751	11.1487	0.048896	0.212934	0.501577	0.829653	lehmus
7390	49474.33	18336.42	13.946	7.242653	3.2008	8.222	9.9791	12.2401	0.368771	0.489203	0.754153	0.934385	lehmus
7391	49482.04	18326.4	12.143	5.259698	3.001	3.2705	7.1258	9.8968	0.606291	0.678959	0.788503	0.962039	lehmus
7392	49496.62	18308.94	11.693	6.827197	5.299	7.26	8.899	10.153	0.274571	0.421217	0.648986	0.928237	lehmus
7393	49501.34	18243.31	8.562	4.61293	2.492	5.348	6.025	6.949	0.413146	0.485915	0.807512	0.995305	lehmus
7394	49492.06	18255.81	6.216	4.357827	3.796	4.301	4.948	5.438	0.061728	0.395062	0.641975	0.925926	lehmus
7395	49483.76	18266.81	6.156	4.640463	4.128	4.644	4.9006	5.803	0	0.014925	0.253731	0.402985	lehmus
7396	49477.2	18277.17	9.922	6.764042	5.5136	7.0125	7.9169	8.8419	0.042056	0.35514	0.574766	0.897196	lehmus
7397	49466.42	18284.4	11.43	6.489176	3.2336	3.903	11.0114	11.2306	0.588235	0.588235	0.588235	0.588235	lehmus
7398	49463.69	18292.98	8.482	5.970938	4.9205	5.928	7.0923	7.7945	0.023077	0.338462	0.523077	0.792308	lehmus
7401	49438.3	18320.91	29.899	8.387331	7.0194	8.872	9.623	10.9912	0.816361	0.994992	0.994992	0.994992	lehmus
7402	49433.94	18333.5	8.129	5.471117	4.7116	4.971	6.1704	6.8468	0.013793	0.137931	0.551724	0.751724	lehmus
7403	49428.1	18340.38	11.758	6.657823	5.5355	6.422	7.494	9.758	0.17866	0.550868	0.807692	0.961538	lehmus
7404	49423.6	18348.52	6.18	4.63697	4.3174	4.574	5.11	5.4912	0.044444	0.162963	0.540741	0.903704	lehmus
7405	49415.87	18358.65	7.195	5.13987	4.6934	5.089	5.6874	6.4708	0.040359	0.215247	0.605381	0.865471	lehmus
7406	49408.87	18367.88	7.634	5.478102	4.806	5.411	6.1024	6.7022	0.004255	0.238298	0.582979	0.914894	lehmus
7412	49343.87	18390.56	15.703	12.151766	11.5538	12.879	14.2406	14.8598	0.050975	0.148426	0.283358	0.628186	vaahtera
7413	49338.32	18387.22	14.863	10.113756	9.215	10.955	11.785	13.019	0.068296	0.228613	0.475198	0.925953	vaahtera
